index,Name,Platform,Year_of_Release,Genre,Publisher,Critic_Score,User_Score,Rating
1998,FIFA Soccer 2002,PS2,2001,Sports,Electronic Arts,82,5.8,E
1999,Angry Birds Trilogy,3DS,2012,Action,Activision,62,4.6,E
2000,Condemned 2: Bloodshot,X360,2008,Action,Sega,80,8.4,M
2001,Okami,PS2,2006,Action,Capcom,93,9.3,T
2002,Shin Megami Tensei: Persona 3 Portable,PSP,2009,Role-Playing,Ghostlight,89,8.3,M
2003,NHL 2001,PS,2000,Sports,Electronic Arts,88,7.7,E
2004,Crysis 3,PC,2013,Shooter,Electronic Arts,76,6.5,M
2005,Buzz Lightyear of Star Command,PS,2000,Platform,Activision,54,5.3,E
2006,NHL 16,PS4,2015,Sports,Electronic Arts,78,5.5,E10+
2007,Tony Hawk's Project 8,PS3,2006,Sports,Activision,76,7.2,T
2008,Ghostbusters: The Video Game,X360,2009,Action,Atari,79,8.5,T
2009,XCOM: Enemy Unknown,X360,2012,Strategy,Take-Two Interactive,90,8.3,M
2010,Tony Hawk's American Wasteland,XB,2005,Sports,Activision,77,7.7,T
2011,Wild ARMs 3,PS2,2002,Role-Playing,Ubisoft,78,8.4,T
2012,Madden NFL 07,GC,2006,Sports,Electronic Arts,82,9.2,E
2013,Tiger Woods PGA Tour 2004,XB,2003,Sports,Electronic Arts,89,8.2,E
2014,Tak 2: The Staff of Dreams,PS2,2004,Platform,THQ,71,8,E
2015,Just Dance 3,PS3,2011,Misc,Ubisoft,75,6,E10+
2016,LEGO Pirates of the Caribbean: The Video Game,3DS,2011,Action,Disney Interactive Studios,71,7.3,E10+
2017,Donkey Kong Barrel Blast,Wii,2007,Racing,Nintendo,46,6.8,E
2018,Viewtiful Joe,GC,2003,Action,Capcom,93,8.3,T
2019,The Urbz: Sims in the City,GBA,2004,Simulation,Electronic Arts,72,9.2,E
2020,Guitar Hero: Metallica,PS3,2009,Misc,Activision,86,8,T
2021,Strike Force Bowling,PS2,2004,Sports,Play It,48,6.8,E
2022,Red Steel 2,Wii,2010,Shooter,Ubisoft,80,8.6,T
2023,XGRA: Extreme G-Racing Association,PS2,2004,Racing,Eidos Interactive,68,8.6,T
2024,Mafia III,XOne,2016,Action,Take-Two Interactive,67,4.6,M
2025,Prince of Persia: The Forgotten Sands,X360,2010,Action,Ubisoft,74,7.8,T
2026,Warriors Orochi 3,PS3,2011,Action,Ubisoft Annecy,70,7.9,T
2027,DJ Hero 2,Wii,2010,Misc,Activision,88,7.5,T
2028,Tiger Woods PGA Tour 12: The Masters,X360,2011,Sports,Electronic Arts,80,6.1,E
2029,Wall-E,X360,2008,Platform,THQ,50,6.3,E
2030,Harry Potter and the Half-Blood Prince,DS,2009,Action,Electronic Arts,48,4.3,E
2031,NieR,PS3,2010,Role-Playing,Square Enix,68,8.4,M
2032,2014 FIFA World Cup Brazil,PS3,2014,Sports,Electronic Arts,73,4.3,E
2033,NBA 2K9,PS3,2008,Sports,Take-Two Interactive,82,7,E
2034,NFL Fever 2003,XB,2002,Sports,Microsoft Game Studios,72,8.6,E
2035,Samurai Warriors 2,PS2,2006,Action,Tecmo Koei,58,8.8,T
2036,Wet,PS3,2009,Shooter,Bethesda Softworks,70,6.4,M
2037,Cooking Mama 4: Kitchen Magic!,3DS,2011,Simulation,505 Games,56,6,E
2038,Scribblenauts: Unlimited,3DS,2012,Action,Warner Bros. Interactive Entertainment,73,7.4,E10+
2039,Fire Emblem: Shadow Dragon,DS,2008,Role-Playing,Nintendo,81,7,E10+
2040,Plants vs. Zombies: Garden Warfare,PS4,2014,Shooter,Electronic Arts,75,7.6,E10+
2041,Metroid Prime: Trilogy,Wii,2009,Shooter,Nintendo,91,9.3,T
2042,Robotech: Battlecry,PS2,2002,Shooter,TDK Mediactive,72,8.5,T
2043,Disney Universe,PS3,2011,Action,Disney Interactive Studios,70,6.9,E10+
2044,Jak and Daxter: The Lost Frontier,PSP,2009,Platform,Sony Computer Entertainment,71,6.3,E10+
2045,Texas Hold 'Em Poker,GBA,2004,Misc,Majesco Entertainment,49,6.8,E
2046,Time Crisis 3,PS2,2003,Shooter,Namco Bandai Games,81,8.1,T
2047,Vanquish,PS3,2010,Shooter,Sega,84,8.1,M
2048,Tearaway,PSV,2013,Adventure,Sony Computer Entertainment Europe,87,8.9,E
2049,Half-Life 2,XB,2005,Shooter,Electronic Arts,90,8.6,M
2050,Tony Hawk: RIDE,X360,2009,Sports,Activision,46,3,E10+
2051,Borderlands: The Pre-Sequel,PS3,2014,Shooter,Take-Two Interactive,77,6.3,M
2052,Major League Baseball 2K8,X360,2008,Sports,Bethesda Softworks,70,5.9,E
2053,Sacred 2: Fallen Angel,PS3,2009,Role-Playing,Deep Silver,70,7.1,M
2054,pro evolution soccer 2011,X360,2010,Sports,Konami Digital Entertainment,79,5.9,E
2055,Major League Baseball 2K9,X360,2009,Sports,Spike,64,5.3,E
2056,Final Fantasy IV Advance,GBA,2005,Role-Playing,Nintendo,85,7.3,E10+
2057,Dragon Ball Z: Ultimate Tenkaichi,PS3,2011,Fighting,Namco Bandai Games,58,5.4,T
2058,Harry Potter and the Goblet of Fire,GBA,2005,Action,Electronic Arts,71,6,E
2059,Dragon Ball Z: Buu's Fury,GBA,2004,Action,Atari,62,8.9,E
2060,Spider-Man: Mysterio's Menace,GBA,2001,Action,Activision,84,8.7,E
2061,MySims Racing,DS,2009,Racing,Electronic Arts,67,7.3,E
2062,Naruto: Ultimate Ninja,PS2,2003,Fighting,Atari,75,7.7,T
2063,Pac-Man Party,Wii,2010,Misc,Namco Bandai Games,59,5.9,E10+
2064,Tony Hawk's Underground,GBA,2003,Sports,Activision,86,7.7,E
2065,Shadow The Hedgehog,PS2,2005,Platform,Sega,45,6,E10+
2066,Wave Race: Blue Storm,GC,2001,Racing,Nintendo,80,8.3,E
2067,Aliens: Colonial Marines,PS3,2013,Shooter,Sega,43,3.6,M
2068,Backyard Wrestling: Don't Try This at Home,PS2,2003,Fighting,Eidos Interactive,51,7.8,M
2069,Yakuza: Dead Souls,PS3,2011,Shooter,Sega,64,7.4,M
2070,Fight Night Round 2,XB,2005,Fighting,Electronic Arts,88,8.8,T
2071,Dead Island: Riptide,PS3,2013,Action,Deep Silver,62,5.9,M
2072,Kinect Sports Rivals,XOne,2014,Sports,Microsoft Game Studios,60,5.1,E10+
2073,NBA 2K8,PS2,2007,Sports,Take-Two Interactive,72,6,E
2074,Dynasty Warriors 8,PS3,2013,Action,Tecmo Koei,68,8.5,T
2075,Disney Infinity,WiiU,2013,Action,Disney Interactive Studios,71,7.6,E10+
2076,Secret Agent Clank,PS2,2009,Platform,Sony Computer Entertainment,61,6.7,E10+
2077,Call of Juarez: Bound in Blood,X360,2009,Shooter,Ubisoft,77,7.6,M
2078,Fighters Uncaged,X360,2010,Fighting,Ubisoft,32,4.6,T
2079,Rayman Arena,PS2,2001,Racing,Ubisoft,63,8.6,E
2080,Jaws Unleashed,PS2,2006,Action,THQ,52,7.5,M
2081,Half-Life,PS2,2001,Shooter,Vivendi Games,87,8.6,M
2082,Split/Second,X360,2010,Racing,Disney Interactive Studios,82,8.1,E10+
2083,The Golden Compass,DS,2007,Action,Sega,43,4.9,E10+
2084,Muramasa: The Demon Blade,Wii,2009,Role-Playing,Rising Star Games,81,8.7,T
2085,Okami,Wii,2008,Action,Capcom,90,8.9,T
2086,LEGO The Hobbit,PS4,2014,Action,Warner Bros. Interactive Entertainment,72,6.6,E10+
2087,WWE 2K17,PS4,2016,Sports,Take-Two Interactive,69,6.9,T
2088,Just Dance 2014,WiiU,2013,Misc,Ubisoft,72,7.6,E10+
2089,NHL 15,PS4,2014,Sports,Electronic Arts,60,3.6,E10+
2090,Total War: Shogun 2,PC,2011,Strategy,Sega,90,8.3,T
2091,SimCity DS,DS,2007,Simulation,Electronic Arts,69,6.3,E
2092,Hot Wheels: Stunt Track Challenge,PS2,2004,Racing,THQ,62,8.1,E
2093,Monopoly,X360,2008,Misc,Electronic Arts,56,5.8,E
2094,Tony Hawk: RIDE,PS3,2009,Sports,Activision,44,2.1,E10+
2095,Medal of Honor: Frontline,GC,2002,Shooter,Electronic Arts,80,7.9,T
2096,Dead Space,PC,2008,Action,Electronic Arts,86,8,M
2097,NHL 11,PS3,2010,Sports,Electronic Arts,88,7.1,E10+
2098,Yakuza 5,PS3,2012,Action,Sega,83,8.5,M
2099,2002 FIFA World Cup,PS2,2002,Sports,Electronic Arts,73,5.6,E
2100,MVP Baseball 2004,XB,2004,Sports,Electronic Arts,90,8.5,E
2101,Crash Bandicoot: The Wrath of Cortex,GC,2002,Platform,Universal Interactive,62,7.3,E
2102,WWE 2K16,XOne,2015,Sports,Take-Two Interactive,72,5.7,T
2103,Assassin's Creed: Brotherhood,PC,2011,Action,Ubisoft,88,8.2,M
2104,Dead or Alive Xtreme Beach Volleyball,XB,2003,Sports,Microsoft Game Studios,73,7.8,M
2105,Silent Hill: Shattered Memories,PS2,2010,Action,Konami Digital Entertainment,77,6.8,M
2106,Blur,X360,2010,Racing,Activision,82,8.3,E10+
2107,Asphalt: Urban GT,DS,2004,Racing,Ubisoft,60,7.5,E
2108,Mega Man Anniversary Collection,PS2,2004,Platform,Capcom,81,9,E
2109,Metal Gear Solid V: Ground Zeroes,PS3,2014,Action,Konami Digital Entertainment,66,5.9,M
2110,Harvest Moon: Friends of Mineral Town,GBA,2003,Simulation,Ubisoft,81,9.6,E
2111,Naruto: The Broken Bond,X360,2008,Action,Ubisoft,80,7.8,T
2112,WarioWare D.I.Y.,DS,2009,Misc,Nintendo,82,8.7,E
2113,Iron Man,Wii,2008,Action,Sega,44,7,T
2114,The Fight: Lights Out,PS3,2010,Fighting,Sony Computer Entertainment,48,7.5,T
2115,Mega Man X7,PS2,2003,Action,Capcom,58,5.1,E
2116,Deus Ex: Human Revolution,PC,2011,Shooter,Square Enix,90,8.5,M
2117,Final Fantasy Anniversary Edition,PSP,2007,Role-Playing,Square Enix,67,7.7,E10+
2118,SoulCalibur V,X360,2012,Fighting,Namco Bandai Games,77,6.2,T
2119,Romancing SaGa,PS2,2005,Role-Playing,Square Enix,58,8,E10+
2120,Lost: Via Domus,X360,2008,Action,Ubisoft,55,6.4,T
2121,Top Spin 3,Wii,2008,Action,Take-Two Interactive,68,5.7,E
2122,Game Party in Motion,X360,2010,Misc,Warner Bros. Interactive Entertainment,33,3.7,E
2123,The Lord of the Rings: The Third Age,PS2,2004,Role-Playing,Electronic Arts,73,8.2,T
2124,Call of Duty: Black Ops,DS,2010,Shooter,Activision,74,6,T
2125,NCAA Football 09,PS3,2008,Sports,Electronic Arts,81,7.3,E
2126,MLB 11: The Show,PS3,2011,Sports,Sony Computer Entertainment,90,7.8,E
2127,Kinect Rush: A Disney Pixar Adventure,X360,2012,Adventure,Microsoft Game Studios,68,5.1,E
2128,Skylanders SWAP Force,WiiU,2013,Platform,Activision,89,6,E10+
2129,Terminator 3: Rise of the Machines,PS2,2003,Action,Atari,38,6.3,T
2130,Guitar Hero: Smash Hits,Wii,2009,Misc,Activision,74,7.7,T
2131,Tom Clancy's HAWX,X360,2009,Action,Ubisoft,73,7.3,T
2132,Alice: Madness Returns,PS3,2011,Adventure,Electronic Arts,70,7.9,M
2133,Shin Megami Tensei IV,3DS,2013,Role-Playing,Atlus,83,8.3,M
2134,NBA 2K7,X360,2006,Sports,Take-Two Interactive,84,7.8,E
2135,NHL 12,PS3,2011,Sports,Electronic Arts,86,7.5,E10+
2136,Unreal Tournament,PS2,2000,Shooter,Infogrames,77,6.8,M
2137,Digimon World 2,PS,2000,Role-Playing,Namco Bandai Games,42,7.6,E
2138,Prince of Persia: The Two Thrones,XB,2005,Action,Ubisoft,85,8.4,M
2139,JoJo's Bizarre Adventure: All Star Battle,PS3,2013,Fighting,Namco Bandai Games,71,8.3,T
2140,Contra: Shattered Soldier,PS2,2002,Shooter,Konami Digital Entertainment,78,6.6,T
2141,Final Fantasy: The 4 Heroes of Light,DS,2009,Role-Playing,Square Enix,71,7.1,E10+
2142,Rayman Legends,PS3,2013,Platform,Ubisoft,91,8.7,E10+
2143,FIFA Soccer,PSV,2012,Sports,Electronic Arts,79,7.2,E
2144,Tenchu 2: Birth of the Stealth Assassins,PS,2000,Action,Activision,77,8.7,M
2145,Tony Hawk's Pro Skater 4,GC,2002,Sports,Activision,91,8.6,T
2146,Naruto: Uzumaki Chronicles 2,PS2,2006,Action,Namco Bandai Games,52,6.9,T
2147,NHL 06,PS2,2005,Sports,Electronic Arts,78,8.5,E10+
2148,Parasite Eve II,PS,1999,Role-Playing,SquareSoft,79,9,M
2149,Skate it,Wii,2008,Sports,Electronic Arts,70,8.4,E
2150,Phineas and Ferb: Across the 2nd Dimension,Wii,2011,Action,Disney Interactive Studios,76,8.3,E10+
2151,Far Cry Instincts,XB,2005,Shooter,Ubisoft,85,5.7,M
2152,Tony Hawk's Pro Skater 4,GBA,2002,Sports,Activision,85,8.8,E
2153,ATV Offroad Fury: Blazin' Trails,PSP,2005,Racing,SouthPeak Games,63,7.8,E
2154,Tales of the Abyss,PS2,2005,Role-Playing,Namco Bandai Games,78,8.4,T
2155,Payday 2,X360,2013,Shooter,505 Games,75,6.3,M
2156,Blacksite: Area 51,X360,2007,Shooter,Midway Games,62,6.1,T
2157,Spyro Orange: The Cortex Conspiracy,GBA,2004,Action,Vivendi Games,60,7,E
2158,XCOM: Enemy Unknown,PS3,2012,Strategy,Take-Two Interactive,89,8.2,M
2159,Skylanders: Spyro's Adventure,3DS,2011,Action,Activision,82,4.9,E10+
2160,The Sims 3: World Adventures,PC,2009,Simulation,Electronic Arts,81,8,T
2161,Madden NFL 06,GC,2005,Sports,Electronic Arts,86,8.5,E
2162,Titanfall 2,XOne,2016,Shooter,Electronic Arts,87,8,M
2163,BlazBlue: Calamity Trigger,PS3,2009,Fighting,PQube,87,8.4,T
2164,Iron Man,X360,2008,Action,Sega,45,5.9,T
2165,Naruto: Ultimate Ninja 2,PS2,2004,Fighting,Namco Bandai Games,73,7.9,T
2166,NHL 10,PS3,2009,Sports,Electronic Arts,88,7.9,E10+
2167,Rock Band 3,PS3,2010,Misc,MTV Games,91,8,T
2168,Blood Wake,XB,2001,Shooter,Microsoft Game Studios,71,7.5,T
2169,Dynasty Warriors 5: Xtreme Legends,PS2,2005,Action,Tecmo Koei,57,9.1,T
2170,WWE 2K15,XOne,2014,Sports,Take-Two Interactive,56,5.7,T
2171,FIFA World Cup Germany 2006,PS2,2006,Sports,Electronic Arts,77,8.1,E
2172,Wreckless: ThE YaKuza MisSiOns,XB,2002,Racing,Activision,74,5.2,T
2173,Defiance,X360,2013,Shooter,Trion Worlds,60,7.2,M
2174,Disgaea 4: A Promise Unforgotten,PS3,2011,Role-Playing,Nippon Ichi Software,80,7.8,T
2175,SpongeBob SquarePants: Battle for Bikini Bottom,XB,2003,Platform,THQ,70,8.9,E
2176,Doom 3 BFG Edition,PS3,2012,Shooter,Bethesda Softworks,67,6.4,M
2177,Spider-Man 3,X360,2007,Platform,Activision,63,7,T
2178,Pro Evolution Soccer 2012,PSP,2011,Action,Konami Digital Entertainment,74,6.3,E
2179,The Conduit,Wii,2009,Shooter,Sega,69,8.2,T
2180,Just Dance 2016,WiiU,2015,Misc,Ubisoft,73,6.9,E10+
2181,Disney Universe,X360,2011,Action,Disney Interactive Studios,66,5.3,E10+
2182,RalliSport Challenge,XB,2002,Racing,Microsoft Game Studios,87,8.3,E
2183,Resident Evil Outbreak File #2,PS2,2004,Action,Capcom,58,7.7,M
2184,Top Spin 3,PS3,2008,Action,Take-Two Interactive,75,7.5,E
2185,XIII,PS2,2003,Shooter,Ubisoft,73,8.6,M
2186,Tomb Raider: Anniversary,PSP,2007,Action,Eidos Interactive,78,8.2,T
2187,Rune Factory 4,3DS,2012,Role-Playing,Xseed Games,78,8.1,E10+
2188,3D Dot Game Heroes,PS3,2009,Role-Playing,SouthPeak Games,77,8,E10+
2189,Up,Wii,2009,Action,THQ,62,8,E10+
2190,Breath of Fire IV,PS,2000,Role-Playing,Capcom,83,8.9,T
2191,True Crime: Streets of LA,GC,2003,Action,Activision,77,7.3,M
2192,Odin Sphere,PS2,2007,Role-Playing,Square Enix,83,8.6,T
2193,Titanfall,PC,2014,Shooter,Electronic Arts,86,6.2,M
2194,Arena Football,PS2,2006,Sports,Electronic Arts,66,8.6,E10+
2195,The Lord of the Rings: The Return of the King,GBA,2003,Action,Electronic Arts,77,8.2,T
2196,NHL Hitz 20-02,PS2,2001,Sports,Midway Games,78,7.6,E
2197,The Legend of Spyro: Dawn of the Dragon,Wii,2008,Platform,Vivendi Games,64,6.5,E10+
2198,Classic NES Series: Dr. Mario,GBA,2004,Puzzle,Nintendo,66,7.5,E
2199,The Sims: Bustin' Out,XB,2003,Simulation,Electronic Arts,81,8.9,T
2200,NCAA March Madness 07,PS2,2007,Sports,Electronic Arts,63,8.6,E
2201,"Monsters, Inc. Scream Team",PS,2001,Platform,Sony Computer Entertainment,65,6.9,E
2202,"Warhammer 40,000: Space Marine",X360,2011,Shooter,THQ,76,7.8,M
2203,Top Spin 3,X360,2008,Action,Take-Two Interactive,78,7.6,E
2204,Cabela's Big Game Hunter 2005 Adventures,PS2,2004,Sports,Activision,55,8.4,T
2205,LEGO Rock Band,X360,2009,Misc,Warner Bros. Interactive Entertainment,71,7.2,E10+
2206,Battlefield 2: Modern Combat,XB,2005,Shooter,Electronic Arts,80,8.2,T
2207,Tom Clancy's HAWX,PS3,2009,Action,Ubisoft,74,8.1,T
2208,All-Star Baseball 2002,PS2,2001,Sports,Acclaim Entertainment,77,7.6,E
2209,Need for Speed: Most Wanted,GC,2005,Racing,Electronic Arts,80,9.1,T
2210,Bolt,Wii,2008,Adventure,Disney Interactive Studios,50,5.8,E10+
2211,WWE Raw 2,XB,2003,Fighting,THQ,68,7.3,T
2212,Manhunt 2,PS2,2007,Action,Take-Two Interactive,67,7.8,M
2213,Fullmetal Alchemist and the Broken Angel,PS2,2003,Role-Playing,Square Enix,56,8.1,T
2214,Tony Hawk's Project 8,PSP,2006,Sports,Activision,68,7.6,T
2215,Batman Begins,PS2,2005,Action,Electronic Arts,64,7.3,T
2216,Tony Hawk's Proving Ground,X360,2007,Sports,Activision,72,5.4,T
2217,Dr. Seuss' The Cat in the Hat,PS2,2003,Misc,Vivendi Games,56,6.5,E
2218,Barbie Groovy Games,GBA,2002,Misc,Universal Interactive,47,7,E
2219,Wolfenstein,X360,2009,Shooter,Activision,72,7.5,M
2220,Blinx: The Time Sweeper,XB,2002,Platform,Microsoft Game Studios,71,8,E
2221,ESPN NFL Football,PS2,2003,Sports,Sega,91,8.5,E
2222,Major League Baseball 2K5,XB,2005,Sports,Take-Two Interactive,81,8.2,E
2223,Tetris Party Deluxe,Wii,2010,Puzzle,Nintendo,72,5.8,E
2224,Gravity Rush,PSV,2012,Action,Sony Computer Entertainment,83,8.5,T
2225,Quantum Break,XOne,2016,Action,Microsoft Game Studios,77,6.8,M
2226,Archer Maclean's Mercury,PSP,2005,Puzzle,Ignition Entertainment,75,6.6,E
2227,TMNT,X360,2007,Action,Ubisoft,58,6.3,E10+
2228,Soldier of Fortune: Gold Edition,PS2,2001,Shooter,Codemasters,59,6.8,M
2229,Final Fantasy IV: The Complete Collection,PSP,2011,Role-Playing,Square Enix,77,7.5,E10+
2230,Frontlines: Fuel of War,X360,2008,Shooter,THQ,75,7.8,T
2231,MX 2002 Featuring Ricky Carmichael,PS2,2001,Racing,THQ,76,8.3,E
2232,NCAA Football 07,XB,2006,Sports,Electronic Arts,88,6.9,E
2233,Lunar: Silver Star Story Complete,PS,1998,Role-Playing,Kadokawa Shoten,78,9.1,T
2234,Harvest Moon: The Tale of Two Towns,DS,2010,Simulation,Natsume,68,7.5,E
2235,No More Heroes,Wii,2007,Action,Rising Star Games,83,8.4,M
2236,God of War: Origins Collection,PS3,2011,Action,Sony Computer Entertainment,84,8.4,M
2237,Dora The Explorer: Dora Saves the Snow Princess,Wii,2008,Platform,Take-Two Interactive,47,7,E
2238,Soul Reaver 2,PS2,2001,Action,Eidos Interactive,80,8.5,M
2239,Metal Gear Solid 3: Subsistence,PS2,2005,Action,Konami Digital Entertainment,94,9.3,M
2240,Enslaved: Odyssey to the West,PS3,2010,Action,Namco Bandai Games,80,7.4,T
2241,WWF Raw,XB,2002,Fighting,THQ,68,6.6,T
2242,Guitar Hero Live,XOne,2015,Misc,Activision,81,5.1,T
2243,Extermination,PS2,2001,Action,Sony Computer Entertainment,67,7.8,M
2244,Batman: Vengeance,PS2,2001,Adventure,Ubisoft,68,6.7,T
2245,Hot Shots Golf: World Invitational,PSV,2011,Sports,Sony Computer Entertainment,76,8.1,E
2246,Tony Hawk's Pro Skater 3,XB,2002,Sports,Activision,93,8.4,T
2247,Mega Man Zero,GBA,2002,Platform,Capcom,82,8.9,E
2248,Resident Evil: Revelations 2,PS4,2015,Action,Capcom,75,7.7,M
2249,NBA 2K8,PS3,2007,Sports,Take-Two Interactive,81,6.8,E
2250,Rayman Origins,Wii,2011,Platform,Ubisoft,92,8.3,E10+
2251,Assassin's Creed: Unity,PC,2014,Action,Ubisoft,70,3,M
2252,MX vs. ATV: Alive,X360,2011,Racing,THQ,63,7.2,E
2253,Shrek 2,XB,2004,Platform,Activision,72,8.4,E
2254,Purr Pals,DS,2007,Simulation,THQ,67,6.8,E
2255,Assassin's Creed II,PC,2010,Action,Ubisoft,86,6.9,M
2256,Tak and the Power of Juju,GBA,2003,Platform,THQ,79,9.2,E
2257,Lips: Number One Hits,X360,2009,Misc,Microsoft Game Studios,70,7.6,T
2258,Turok: Evolution,XB,2002,Shooter,Acclaim Entertainment,68,6.7,M
2259,Jak X: Combat Racing,PS2,2005,Racing,Sony Computer Entertainment,76,7.7,T
2260,American Idol,PS2,2003,Misc,Codemasters,41,4.8,E
2261,Red Dead Revolver,XB,2004,Shooter,Take-Two Interactive,74,8.5,M
2262,CrossworDS,DS,2008,Puzzle,Deep Silver,67,6.8,E
2263,Viva Pinata: Pocket Paradise,DS,2008,Simulation,THQ,82,7.1,E
2264,Sly Cooper: Thieves in Time,PS3,2013,Platform,Sony Computer Entertainment Europe,75,8.3,E10+
2265,Iron Man,PS2,2008,Action,Sega,47,5.6,T
2266,Spec Ops: The Line,PS3,2012,Shooter,Take-Two Interactive,77,8,M
2267,The SpongeBob SquarePants Movie,XB,2004,Platform,THQ,74,8.5,E
2268,NHL 14,PS3,2013,Sports,Electronic Arts,80,6,E10+
2269,F1 2013,PS3,2013,Racing,Codemasters,77,6.3,E
2270,Legends of WrestleMania,PS3,2009,Fighting,THQ,70,6.5,T
2271,Tiger Woods PGA Tour 08,X360,2007,Sports,Electronic Arts,80,7.8,E
2272,Dance Dance Revolution Ultramix,XB,2003,Simulation,Konami Digital Entertainment,82,8.8,E
2273,Crash Tag Team Racing,PS2,2005,Racing,Vivendi Games,66,7,E10+
2274,Front Mission 4,PS2,2003,Strategy,Square Enix,75,8.6,T
2275,Rayman Origins,PSV,2012,Platform,Ubisoft,88,8.4,E10+
2276,F.E.A.R.,PS3,2007,Shooter,Vivendi Games,72,7.4,M
2277,Enslaved: Odyssey to the West,X360,2010,Action,Namco Bandai Games,82,7.8,T
2278,Dragon Ball Z: Shin Budokai,PSP,2006,Fighting,Atari,70,8.1,T
2279,Tiger Woods PGA Tour 13,PS3,2012,Sports,Electronic Arts,75,5.7,E
2280,Dynasty Warriors: Gundam 3,PS3,2010,Action,Tecmo Koei,58,7.5,T
2281,Tiger Woods PGA Tour 11,Wii,2010,Sports,Electronic Arts,84,8.3,E
2282,NBA Live 10,PS3,2009,Sports,Electronic Arts,81,7.5,E
2283,Metro 2033,X360,2010,Shooter,THQ,77,7.9,M
2284,Fire Emblem: Path of Radiance,GC,2005,Action,Nintendo,85,8.9,T
2285,Hotel Dusk: Room 215,DS,2007,Adventure,Nintendo,78,8.6,T
2286,Final Fantasy Explorers,3DS,2014,Role-Playing,Square Enix,69,7,E10+
2287,SSX Tricky,GC,2001,Sports,Electronic Arts,87,8.6,E
2288,Greg Hastings' Tournament Paintball,XB,2004,Shooter,Activision,74,9.2,T
2289,ESPN NBA Basketball,PS2,2003,Sports,Sega,89,8.4,E
2290,Dragon Ball Z: Ultimate Tenkaichi,X360,2011,Fighting,Namco Bandai Games,55,5.8,T
2291,Sacred 2: Fallen Angel,X360,2009,Role-Playing,Deep Silver,71,7.3,M
2292,Two Worlds II,X360,2011,Role-Playing,Unknown,67,6.6,M
2293,Over the Hedge,PS2,2006,Platform,Activision,58,8.6,E10+
2294,Mat Hoffman's Pro BMX,PS,2001,Sports,Activision,80,8.6,E
2295,NHL 14,X360,2013,Sports,Electronic Arts,81,5.9,E10+
2296,The Hobbit,PS2,2003,Platform,Vivendi Games,59,8.6,E
2297,War of the Monsters,PS2,2003,Fighting,Sony Computer Entertainment,80,8.9,T
2298,Harry Potter and the Deathly Hallows - Part 1,Wii,2010,Action,Electronic Arts,41,5,T
2299,The Incredible Hulk: Ultimate Destruction,PS2,2005,Action,Vivendi Games,83,8.7,T
2300,Time Crisis: Razing Storm,PS3,2010,Shooter,Namco Bandai Games,58,5.9,T
2301,Summer Sports: Paradise Island,Wii,2008,Sports,Ubisoft,46,4.6,E
2302,Time Crisis II,PS2,2001,Shooter,Namco Bandai Games,81,7.9,T
2303,NCAA March Madness 06,PS2,2005,Sports,Electronic Arts,78,9.1,E
2304,LEGO Dimensions,WiiU,2015,Action,Warner Bros. Interactive Entertainment,62,6.5,E10+
2305,Valkyria Chronicles II,PSP,2010,Role-Playing,Sega,83,8.1,T
2306,Tatsunoko vs. Capcom: Ultimate All-Stars,Wii,2010,Fighting,Capcom,85,8.8,T
2307,Rune Factory: A Fantasy Harvest Moon,DS,2006,Role-Playing,Rising Star Games,78,8.1,E
2308,Legacy of Kain: Defiance,PS2,2003,Action,Eidos Interactive,75,9.3,M
2309,NCAA March Madness 2005,PS2,2004,Sports,Electronic Arts,78,8.3,E
2310,007 Racing,PS,2000,Racing,Electronic Arts,51,4.6,T
2311,Tactics Ogre: Let Us Cling Together,PSP,2010,Role-Playing,Square Enix,87,8.8,T
2312,Conflict: Vietnam,PS2,2004,Shooter,SCi,58,8.1,M
2313,Dragon's Crown,PS3,2013,Role-Playing,Nippon Ichi Software,82,8.3,T
2314,MLB SlugFest 20-04,PS2,2003,Sports,Midway Games,78,8.3,E
2315,Blitz: The League,XB,2004,Sports,Midway Games,78,7.7,M
2316,Manhunt 2,Wii,2007,Action,Take-Two Interactive,62,7.1,M
2317,Just Dance 2015,XOne,2014,Misc,Ubisoft,70,7.5,E10+
2318,The LEGO Movie Videogame,XOne,2014,Action,Warner Bros. Interactive Entertainment,69,6.9,E10+
2319,Overwatch,PC,2016,Shooter,Activision,91,6.8,T
2320,Peter Jackson's King Kong: The Official Game of the Movie,XB,2005,Action,Ubisoft,82,8.5,T
2321,Burnout Revenge,XB,2005,Racing,Electronic Arts,89,8.4,E10+
2322,Medal of Honor: European Assault,XB,2005,Shooter,Electronic Arts,72,7,T
2323,Ty the Tasmanian Tiger 2: Bush Rescue,PS2,2004,Platform,Electronic Arts,71,8.2,E
2324,The Lord of the Rings: The Fellowship of the Ring,XB,2002,Action,Universal Interactive,59,6.6,T
2325,NBA 06,PS2,2005,Sports,Sony Computer Entertainment,63,6.3,E
2326,Excite Truck,Wii,2006,Racing,Nintendo,72,8.4,E
2327,Magician's Quest: Mysterious Times,DS,2008,Role-Playing,Konami Digital Entertainment,69,7.6,E10+
2328,X-Men Legends,GC,2004,Role-Playing,Activision,81,8.5,T
2329,StarCraft II: Legacy of the Void,PC,2015,Strategy,Activision,88,8.3,T
2330,ModNation Racers,PSP,2010,Racing,Sony Computer Entertainment,73,7.7,E
